DC_CODE,DC_NAME,DC_TYPE,FACILITY_TYPE,ADDRESS,URL_GMAPS,AREA_SQM,AREA_LAHAN,AREA_GUDANG,REGION_OPERATION,OWNERSHIP_STATUS,END_CONTRACT_PERIOD,LAT,LONG,SHELVE_TOTAL,PALLET_TOTAL,QTY_MAX_CAPACITY,ADDRESS_ODOO,DISTRICT_NAME,CITY_NAME,STATE_NAME,POSTAL_CODE,COUNTRY_NAME,SJB_CLUSTER_NAME,SALES_CLUSTER_NAME,REGION_OPERATION_NAME,CREATE_TIMESTAMP
D41,DC BUKITTINGGI,DC,DC,ACTIVE,"Jaruang Jorong PGRM Nagari Gadut, Tilatang Kamang, Kabupaten Agam, Sumatera Barat 26123",https://maps.app.goo.gl/Fpss5Xq2MuwHDKiS7,,1375,,Lease,20/10/2025,-0.31,"100,37",630700,181,,TILATANG KAMANG,AGAM,SUMATRA BARAT,,,"6 Nov, 2019, 01:36",v,,"749,940547",181
D22,DC SAMARINDA,DC,DC,ACTIVE,"Jl. P. Suryanata, Komplek Samarinda Central Bizpark No. 2B-2C, Kel. Bukit Pinang, Kec. Samarinda Ulu, Samarinda, Kalimantan Timur 75131",https://maps.app.goo.gl/ecKNJaLTdUMRRBCj6,,1771,,Lease,02/11/2025,-0.5,"117,15",595756,171,,SAMARINDA ULU,SAMARINDA,KALIMANTAN TIMUR,,,"2 Oct, 2018, 02:20",v,,"516,7007806",171
D44,DC PALU,DC,DC,ACTIVE,"Jalan Karanja Lembah No 17, Kelurahan Birobuli Selatan, Kec. Palu Selatan, Kota Palu, Sulawesi Tengah (depan Apotek Fasya Farma)",https://maps.app.goo.gl/qtLmVYvRuTeKkogy9,,5334,,Lease,03/09/2027,-0.89,"119,87",617512,177,,PALU SELATAN,PALU,SULAWESI TENGAH,,,"7 Jul, 2021, 03:36",v,,"771,89",177
D11,DC JAMBI,DC,DC,ACTIVE,"Kompleks Jambi Trade Centre No 4, Jalan Lingkar Selatan 1, RT 26 Kel. Kenali Asam Bawah, Kec. Kota Baru Jambi - 36128",https://maps.app.goo.gl/Esh43QTfGtKyo58N8,,1058,,Lease,01/08/2027,-1.6,"103,62",426664,122,,KOTA BARU,JAMBI,JAMBI,,,"2 Oct, 2018, 02:20",v,,"515,294686",122
D05,DC BANGKA,DC,DC,ACTIVE,"Jalan Minfo Pergudangan Asun, Gang SMK 1, Kecamatan Pangkalan Baru, Kabupaten Bangka Tengah 33684",https://maps.app.goo.gl/SAtwFy8EKYsndNs38,,748,,Lease,30/10/2025,-2.13,"106,12",205296,72,,PANGKALAN BARU,BANGKA TENGAH,BANGKA BELITUNG,,,"2 Oct, 2018, 02:19",v,,"570,2666667",59
D38,DC PALANGKARAYA,DC,DC,ACTIVE,"Jl. RTA Milono Km 7.5 Kav D6-7, Kel. Kereng Bangkirai, Kec. Sabangau, Kota Palangkaraya, Kalimantan Tengah 73113 (Sebrang Vihara Yatha)",https://maps.app.goo.gl/tqgG7j4nzFHEdxMq6,,2880,,Lease,31/08/2026,-2.2,"113,83",152880,72,,SABANGAU,PALANGKARAYA,KALIMANTAN TENGAH,,,"15 Aug, 2019, 09:30",v,,"256,080402",44
D18,DC PALEMBANG,RDC,DC,ACTIVE,"Jl. Letkol Andriansz lorong serumpun Sukabangun 2 Kel. Sukajaya Kec. Sukarami Kota Palembang (Jalan Sukabangun 2 No. 999 RT 01/ RW 01, Kelurahan Sukajaya, Kecamatan Sukarami, kode pos 35151 Palembang (Belakang Ruko Sumber Murah)",https://maps.app.goo.gl/hzZGjyjJhr4moj4b7,,2440,,Lease,08/01/2028,-2.92,"104,75",1400168,401,,SUKARAMI,PALEMBANG,SUMATRA SELATAN,,,"2 Oct, 2018, 02:20",v,,"811,6915942",401
D06,DC BANJARMASIN,RDC,DC,ACTIVE,"Jalan Ahmad Yani KM 14.8 Pergudangan Untung Square Blok D8-D10, Kecamatan Gambut, Kabupaten Banjar, Kalimantan Selatan 70652",https://maps.app.goo.gl/oQXv8FystmmknhDr5,,2145,,Lease,28/02/2026,-3.32,"114,59",921200,264,,GAMBUT,BANJAR,KALIMANTAN SELATAN,,,"2 Oct, 2018, 02:19",v,,"805,9492563",264
M03,DC ECOMMERCE MALAYSIA,DC,FC,ACTIVE,"Lot Unit 8, No. 2, Jalan Tun Teja 2, Perdana Industrial Park, 42000 Port Klang, Selangor",,,,,Lease,,"3,048","101,387",,121,,,,,,,"1 Aug, 2023, 01:45",v,,#DIV/0!,0
D58,DC ECOMMERCE PALANGKARAYA,DC,FC,ACTIVE,"Jl Rta Milono Km 7.5 Kav D6-7, Kel. Kereng Bangkirai, Kec Sabangau, Kota Palangkaraya, Kalimantan Tengah",https://maps.app.goo.gl/QQ86GCiALUZ2cc667,,,,Lease,,"-2,276","113,918",1255,2,,,,,,,"19 Aug, 2025, 13:35",v,,#DIV/0!,1
